region,period,amount,count,ticket,share_korean,share_chinese,share_japanese,share_western,share_bakery,share_supermarket,share_convenience,concentration,amount_growth,count_growth,ticket_growth,share_change_korean,share_change_chinese,share_change_japanese,share_change_western,share_change_bakery,share_change_supermarket,share_change_convenience,year,q,quarter,future_growth,target
강원특별자치도 영월군,8104,2731900000.0,129640.0,21072.971305152732,0.5879387971741279,0.03712434569347341,0.007650353234012958,0.0848896372488012,0.025506058054833632,0.07494051758849153,0.18195029100625937,0.39368757325375714,,,,,,,,,,,2026,1,20261,0.43514769940334563,1.0
강원특별자치도 영월군,8105,3920680000.0,181444.0,21608.20969555345,0.6166940428701144,0.03089770141914158,0.007636430415132069,0.08890294540742932,0.02113663956252487,0.06397104583898712,0.17076119448667068,0.4229266970163189,0.43514769940334563,0.3995988892317186,0.025399284355777763,0.02875524569598653,-0.006226644274331828,-1.3922818880888858e-05,0.004013308158628118,-0.004369418492308763,-0.010969471749504411,-0.011189096519588687,2026,2,20262,,
강원특별자치도 원주시,8104,46236950000.0,2386273.0,19376.219736802956,0.40947532222605515,0.03197572504241737,0.030324880858274606,0.1046842406343844,0.029178611478482035,0.22032465376717106,0.17403656599321538,0.260253945868533,,,,,,,,,,,2026,1,20261,0.07935622916303942,0.0
강원특별자치도 원주시,8105,49906140000.0,2743511.0,18190.610498736838,0.4298805718094006,0.028474051489456007,0.028100149600830678,0.10776810228160302,0.028331183297285664,0.19339764606118606,0.18404829546023796,0.27009074041521974,0.07935622916303942,0.1497054192877345,-0.061188882773360875,0.02040524958334544,-0.0035016735529613645,-0.002224731257443928,0.0030838616472186192,-0.0008474281811963712,-0.026927007705984995,0.010011729467022584,2026,2,20262,,
강원특별자치도 인제군,8104,2983680000.0,162754.0,18332.452658613613,0.40997358966108965,0.0438518876018876,0.006951147576147576,0.2194169616044616,0.013895592020592021,0.13264157014157013,0.1732692513942514,0.26600256084415536,,,,,,,,,,,2026,1,20261,0.11448278635778641,0.0
강원특별자치도 인제군,8105,3325260000.0,192393.0,17283.684957352918,0.46500424026993376,0.039762304301017064,0.006077720238417447,0.22394940546002418,0.012889217685233635,0.05070881675417862,0.20160829529119528,0.3113836799609077,0.11448278635778641,0.18210919547292237,-0.05720825907972138,0.0550306506088441,-0.004089583300870538,-0.000873427337730129,0.004532443855562562,-0.001006374335358386,-0.0819327533873915,0.02833904389694389,2026,2,20262,,
강원특별자치도 정선군,8104,5928630000.0,275173.0,21545.100718457117,0.5031449086888539,0.04005647173124314,0.009804963372651018,0.08823961016288755,0.024258555517885246,0.11330442277558221,0.22119106775089692,0.3249935443646124,,,,,,,,,,,2026,1,20261,0.21933060420366934,1.0
강원특별자치도 정선군,8105,7228960000.0,332173.0,21762.635734993513,0.4850158252362719,0.04053556804851597,0.008716329873176778,0.06407422367809477,0.027915495451627897,0.1779011088731989,0.19584144883911378,0.3118469160610731,0.21933060420366934,0.20714241586202142,0.010096727760944724,-0.018129083452581962,0.0004790963172728313,-0.00108863349947424,-0.024165386484792772,0.0036569399337426506,0.06459668609761669,-0.02534961891178314,2026,2,20262,,
강원특별자치도 철원군,8104,4285430000.0,186650.0,22959.710688454325,0.45985117012761845,0.04257449077455471,0.015298348123758876,0.10721444522486659,0.024494624810112404,0.18360817934256304,0.1669587415965259,0.2871918342142187,,,,,,,,,,,2026,1,20261,0.11779214687907635,0.0
강원특별자치도 철원군,8105,4790220000.0,214042.0,22379.813307668588,0.48198412599003804,0.040382278893244986,0.012168543407192154,0.0997970865638739,0.020806977550091647,0.16766453315296584,0.17719645444259344,0.3039898675494809,0.11779214687907635,0.14675596035360305,-0.02525717282131723,0.02213295586241959,-0.002192211881309726,-0.0031298047165667225,-0.00741735866099269,-0.003687647260020757,-0.015943646189597205,0.010237712846067532,2026,2,20262,,
강원특별자치도 춘천시,8104,33005830000.0,1571369.0,21004.506261737377,0.44726219579995413,0.03496382305792643,0.02986654175944068,0.11598041921684744,0.02391577487977124,0.19841494669275095,0.1495962985933091,0.27792891658501223,,,,,,,,,,,2026,1,20261,0.10573283568387759,0.0
강원특별자치도 춘천시,8105,36495630000.0,1856538.0,19657.895502273586,0.4641158407184641,0.03197259507508159,0.029005664513806175,0.1191559098993496,0.022364321426976325,0.17747138493019576,0.15591428343612646,0.2877707390008029,0.10573283568387759,0.1814780614865128,-0.0641105647847019,0.01685364491850999,-0.0029912279828448393,-0.0008608772456345053,0.003175490682502155,-0.001551453452794914,-0.020943561762555185,0.006317984842817342,2026,2,20262,,
강원특별자치도 태백시,8104,3334590000.0,138976.0,23993.998963849874,0.5216053547812475,0.03216587346570343,0.012448306988265424,0.09281200987227815,0.024143897750548045,0.1343823378586273,0.18244221928333018,0.3338025229796546,,,,,,,,,,,2026,1,20261,0.010972863230562124,0.0
강원특별자치도 태백시,8105,3371180000.0,146616.0,22993.26130845201,0.5162317052189441,0.03454873367782201,0.013039944470482146,0.08582751440148553,0.023469526990549303,0.1297498205376159,0.197132754703101,0.3314723484556671,0.010972863230562124,0.05497352060787475,-0.041707831066659984,-0.005373649562303351,0.00238286021211858,0.0005916374822167222,-0.0069844954707926205,-0.0006743707599987415,-0.004632517321011387,0.014690535419770806,2026,2,20262,,
강원특별자치도 평창군,8104,7375670000.0,315355.0,23388.466965800446,0.5457104235954158,0.023181622822062268,0.009803855107400412,0.10846607833593423,0.019636182204464135,0.1047023524642507,0.18849948547047252,0.3570784780676444,,,,,,,,,,,2026,1,20261,-0.07892299953766913,0.0
