quarter,admin,name,amount,count,cafe_amount,common_amount,western_amount,bakery_amount,known_age_amount,young_amount,weekend_amount,stores,openings,closures,population,cafe_share,young_share,weekend_share,opening_rate,closure_rate,western_share_common,bakery_share_common
20232,11170530,남영동,40822571951,1393956,3755750713,28235412887,1063700264,96071324,29764893178,15925772452,8656439360,441,22,17,2211503,0.09200181501322574,0.5350522293750797,0.21205031790722215,0.049886621315192746,0.03854875283446712,0.03767255921693085,0.003402511745958305
20233,11170530,남영동,40725283599,1428342,3783788803,27287610776,983053906,87907082,30120302628,16525942691,8905892173,439,7,12,2243624,0.0929100663916042,0.5486645634043993,0.21868214008505227,0.015945330296127564,0.02733485193621868,0.03602564966459488,0.003221501608243256
20234,11170530,남영동,44279155431,1402018,3782243196,30108747460,919688837,98305981,31745590873,17165034980,9883419543,447,24,18,2340115,0.08541814222030164,0.5407061109263859,0.22320704735214036,0.053691275167785234,0.040268456375838924,0.030545569463552837,0.0032650305739420488
20241,11170530,남영동,41356367304,1295070,3642069884,27909050711,711040640,85850955,30030217325,16244703836,8637546955,447,16,13,2132796,0.08806551739005708,0.5409452639051123,0.20885652000108273,0.035794183445190156,0.029082774049217,0.025477062884111366,0.003076097280734917
20242,11170530,남영동,41985706141,1376777,3717393131,28502693936,774158737,90964780,30233557541,16239324000,8920335423,451,22,18,1900522,0.08853949290541718,0.5371291148247342,0.21246124557350457,0.04878048780487805,0.03991130820399113,0.02716089709759707,0.003191444998295687
20243,11170530,남영동,43271683870,1385667,3674027402,29380618372,826539072,83425717,31124243069,17046716162,8935439403,450,19,19,1900602,0.08490604185956306,0.5476989793521652,0.20649622579616983,0.042222222222222223,0.042222222222222223,0.028132119669329336,0.0028394813187289985
20244,11170530,남영동,49289229992,1498913,3933845699,33340561141,910802286,87704748,35309686225,19136449701,10675117801,453,19,13,2018933,0.0798114659051986,0.5419603442256304,0.21658114364401004,0.04194260485651214,0.02869757174392936,0.027318145071048492,0.002630572041936827
20251,11170530,남영동,44124298830,1350495,3798302443,30064740725,812295758,86276613,32641835716,17934543240,10487829297,453,14,17,2035223,0.08608187651058023,0.5494342718969403,0.2376882936408125,0.03090507726269316,0.037527593818984545,0.027018219296484552,0.002869694230499638
20252,11170530,남영동,45011939795,1430480,4217488452,29977012727,779822335,91764723,32656593629,17277412166,9664834332,455,19,19,2019412,0.09369710506163269,0.529063513552043,0.2147171256341542,0.041758241758241756,0.041758241758241756,0.026014010872324904,0.0030611696981183325
20253,11170530,남영동,44247767480,1401702,4368358626,30243229973,840845171,91483998,32121244656,17604527646,9930736954,458,17,16,2070145,0.0987249498627134,0.5480649281973452,0.2244347572674417,0.03711790393013101,0.034934497816593885,0.027802756906278675,0.0030249413862763145
20254,11170530,남영동,47213031362,1364317,4411048423,32212025943,797054340,95578975,34304535968,18254948989,10921655546,459,13,15,1871643,0.0934286212037274,0.5321438834219651,0.2313271406417346,0.02832244008714597,0.032679738562091505,0.024743999070732402,0.002967182975983238
20211,11170555,청파동,12218772221,963476,1263748577,8117920457,472039187,2320674545,10809825150,6123315584,3091373729,336,14,7,7536374,0.10342680542223687,0.5664583375800486,0.2530019934152597,0.041666666666666664,0.020833333333333332,0.05814779653241926,0.285870569598758
20212,11170555,청파동,14870820836,1229008,1909214388,9498017214,588985372,2431356752,13282137743,7564242491,3752611030,337,22,20,7533794,0.12838661759531672,0.5695048972810521,0.25234726928559975,0.06528189910979229,0.05934718100890208,0.062011402878049154,0.2559857175681046
20213,11170555,청파동,12274746781,1022192,1409304243,8050982188,399812094,2385576297,10834336718,6038713298,2947594679,346,16,8,7324502,0.11481330475846988,0.5573680655473237,0.24013486645301413,0.046242774566473986,0.023121387283236993,0.049660039565845825,0.2963087287108528
20214,11170555,청파동,15556071666,1151976,1647858589,10325996424,648963087,2479008944,13423505143,7615460131,3827611363,349,14,12,7772703,0.1059302518258275,0.5673227707571789,0.24605256681645324,0.04011461318051576,0.034383954154727794,0.0628475025898382,0.2400745499231639
20221,11170555,청파동,13194082761,963882,1350841443,8873362356,549429671,2310203541,11564042322,6470700273,3326013079,354,17,13,7669173,0.10238236848058224,0.5595534928724555,0.25208369079139503,0.0480225988700565,0.03672316384180791,0.06191899405849081,0.2603526654625892
20222,11170555,청파동,17809092123,1298471,2213696901,11586230804,753608855,2447094525,15511544899,8465231722,4523273230,360,15,7,8037725,0.12430150204799409,0.545737499205881,0.25398673883877015,0.041666666666666664,0.019444444444444445,0.06504348720032628,0.21120712735630742
20223,11170555,청파동,16126763497,1123149,1792029594,10467960684,612317027,2216664397,13900445444,7559401007,4012570769,361,16,13,7539458,0.11112146552737406,0.5438243714889688,0.2488143867023562,0.0443213296398892,0.036011080332409975,0.058494394990985236,0.2117570426480597
20224,11170555,청파동,19751800594,1329684,2182426595,13091643104,908489238,2407983807,16492486256,8905530672,4979356866,375,43,23,7788252,0.11049253887582053,0.5399750246122018,0.2520963515352913,0.11466666666666667,0.06133333333333333,0.06939459247269135,0.18393289428003642
20231,11170555,청파동,17223715343,1045248,1579950732,11608233966,785291327,2054487226,14376587756,7591507544,4115235527,382,27,18,7546132,0.09173112191743914,0.528046548516474,0.2389284451726903,0.07068062827225131,0.04712041884816754,0.06764950890032742,0.1769853392012516
20232,11170555,청파동,19396600881,1407200,2325473424,12648394720,876022232,2032836079,16723477015,8907578965,4647753063,384,21,19,7747013,0.11989077046370143,0.5326391728831518,0.2396168839846945,0.0546875,0.049479166666666664,0.0692595583386411,0.16071889943358758
20233,11170555,청파동,16634745112,1046741,1813466477,10984119436,599701737,1367550135,14005833819,6869274790,4271630316,382,29,23,7277132,0.10901678774096746,0.490458110439758,0.25678964644420815,0.07591623036649214,0.060209424083769635,0.0545971609735508,0.12450248223976067
20234,11170555,청파동,19299638891,1265648,2301724014,12707698476,926125008,1572520998,15938894303,8221270638,4707975688,380,21,22,7593231,0.11926254304547444,0.515799307135916,0.24394112835942594,0.05526315789473684,0.05789473684210526,0.07287905121050026,0.12374553905019803
20241,11170555,청파동,16216292478,970344,1792894722,10778392879,714148231,1284208418,13635952293,7018123383,4010210551,380,19,17,7479805,0.11056132124111286,0.5146779067716998,0.24729515432954194,0.05,0.04473684210526316,0.06625739467999958,0.11914655852841269
20242,11170555,청파동,17715516149,1223030,2568169383,11151483136,788586667,1165250919,15178650736,7761191024,4101030900,376,19,23,7719470,0.14496723445141999,0.5113228546455962,0.23149372931092915,0.05053191489361702,0.061170212765957445,0.0707158552259501,0.10449290957883936
20243,11170555,청파동,14719850375,902975,1960603722,9367001721,539190298,788537799,12383766189,6013127994,3540838079,380,18,18,7434177,0.1331945415239997,0.48556536858239613,0.24054851026296523,0.04736842105263158,0.04736842105263158,0.05756274142569894,0.08418251885575799
20244,11170555,청파동,17268523831,1057398,2182417216,11292160405,858039968,748256490,14112632967,7116247082,3973619529,385,19,16,7658693,0.1263812261753481,0.504246592300681,0.23010765528589436,0.04935064935064935,0.04155844155844156,0.07598545692107532,0.06626335999165255
20251,11170555,청파동,14538906182,800858,1691653029,9877807688,680641577,688019804,11969094556,5936111734,3623521106,387,11,12,7508006,0.11635352810064649,0.49595328253332915,0.24922927905581557,0.028423772609819122,0.031007751937984496,0.06890613772799745,0.06965308758094542
20252,11170555,청파동,17262578761,1148034,2504858146,11141990139,819244556,956101903,14522190465,7387460987,3811303162,389,12,10,7609923,0.14510335800228358,0.5087015629497874,0.2207841142837002,0.030848329048843187,0.02570694087403599,0.0735276683769824,0.08581069369765307
20253,11170555,청파동,15492535780,936693,2252419144,10049127142,919670537,539762362,12987597625,6452189005,3551798257,390,18,22,7178793,0.14538737724961381,0.4967961890488581,0.22925867704531452,0.046153846153846156,0.05641025641025641,0.09151745460123267,0.05371236271298437
20254,11170555,청파동,17516992140,1042184,2833570000,11276760550,1092553608,549504983,14415250163,7044478337,4037858199,397,21,16,7206085,0.16176121889839473,0.48868235079827105,0.2305109328547087,0.05289672544080604,0.04030226700251889,0.09688541342664228,0.04872897500692253
20211,11170560,원효로1동,12152119835,581833,619242889,8215850057,20177849,277130207,9115054213,4312664729,2086656915,292,9,12,5233852,0.05095760224619279,0.473136486983174,0.17171135105087615,0.030821917808219176,0.0410958904109589,0.0024559660728968925,0.033731166595948506
20212,11170560,원효로1동,14268889320,692896,951045747,9354394443,35699478,302525652,10853055624,5282481114,2521748261,293,11,10,5353997,0.06665170117109016,0.48672754448236116,0.17673052221838945,0.03754266211604096,0.034129692832764506,0.0038163323363720595,0.03234048487514693
20213,11170560,원효로1동,12177234439,654713,951472905,8158105814,22508021,287528870,9452244995,4483439336,2102926320,293,10,11,5173386,0.0781353853180916,0.47432534158516065,0.17269326057031167,0.034129692832764506,0.03754266211604096,0.0027589763498009957,0.03524456247019696
20214,11170560,원효로1동,15661169637,700390,874611136,10290568516,25645917,348994826,11777737887,5893135332,2837700362,297,9,6,5325266,0.05584583758889272,0.5003622417599146,0.1811933864311031,0.030303030303030304,0.020202020202020204,0.0024921768860607816,0.03391404716438895
20221,11170560,원효로1동,13055766863,600757,760685334,8947995711,22562651,291206055,9902915159,4774271641,2381013885,298,12,10,5289436,0.05826431660293963,0.4821076990305254,0.1823725798710289,0.040268456375838924,0.03355704697986577,0.002521531271216766,0.032544277445508044
20222,11170560,원효로1동,17112681953,727018,1139203553,10637169480,24579077,310944416,13045182712,6540373726,3356787797,300,12,12,5351071,0.06657071966444675,0.5013631369059816,0.19615790243863712,0.04,0.04,0.002310678329062404,0.02923187569631541
20223,11170560,원효로1동,16778235048,695528,1019184071,10462639799,28220635,288359303,12747650622,6470846757,3266666557,293,7,14,5191256,0.06074441489729212,0.5076109276035977,0.194696673854822,0.023890784982935155,0.04778156996587031,0.002697276742978123,0.027560855437990025
20224,11170560,원효로1동,18476473858,729419,1119221864,11977256996,27439380,279023751,13906824973,7146846743,3884510298,298,16,13,5309850,0.0605755120052518,0.5139093040198285,0.21024088946052186,0.053691275167785234,0.0436241610738255,0.0022909569368983087,0.02329613125051792
