quarter,amount,count,cafe_amount,common_amount,western_amount,bakery_amount,known_age_amount,young_amount,weekend_amount,stores,openings,closures,population,cafe_share,young_share,weekend_share,opening_rate,closure_rate,western_share_common,bakery_share_common,group,side,amount_index,amount_yoy,count_index,count_yoy,stores_index,stores_yoy,population_index,population_yoy
20252,27501696247,979875,4388389726,19330803532,4169370778,512073919,25608793741,17660206335,10869740337,1033,46,46,6440816,0.15956796579333551,0.6896149234364674,0.3952389059705987,0.044530493707647625,0.044530493707647625,0.2156853320193374,0.026490048287559204,연남,case,96.91548090297842,-0.03804500027522917,85.34829267485404,-0.06424759729246565,115.9371492704826,-0.04704797047970477,93.36686383327371,-0.0012567993932628418
20253,26957632046,943511,4626619371,18285475436,4031029002,607594836,25070893432,17568988888,10377567919,1020,48,62,6346996,0.17162558503303343,0.7007723492444543,0.3849584377920105,0.047058823529411764,0.060784313725490195,0.22044977808254348,0.033228276624614424,연남,case,94.9982084842722,-0.07127929330846694,82.180944477555,-0.09359626260520548,114.47811447811448,-0.04404873477038429,92.00683753150733,-0.0017136185568453755
20254,28838630045,962602,4425208846,19981762227,4497224772,635584714,26995518766,19134031200,11064015083,1006,33,48,6472654,0.15344726289337854,0.7087854605001592,0.38365258910480954,0.032803180914512925,0.04771371769383698,0.225066474163285,0.0318082412741944,연남,case,101.62681146255252,-0.06374811956629245,83.84379357101655,-0.08006020786047063,112.90684624017958,-0.050047214353163394,93.82839141156872,-0.018363632530799312
20211,103841614665,5457782,10212032683,66591592441,6940822206,6883974345,96171200766,63473627932,34577528448,2648,149,85,33065312,0.09834239111116194,0.6600066072424482,0.33298334737522545,0.05626888217522659,0.03209969788519638,0.1042297075587966,0.10337602830416145,연남,comparison,85.84011661408913,,87.28162181104206,,98.347260909935,,99.80392780514889,
20212,126874816323,6622805,13485644274,78143700802,8167615958,7091885161,117817481686,78762759853,41665897114,2665,176,162,33533384,0.10629094618484432,0.6685150516365111,0.3284016349464205,0.06604127579737336,0.06078799249530957,0.1045204651708914,0.09075440615449443,연남,comparison,104.88038984844746,,105.91283443315955,,98.9786443825441,,101.21675052690672,
20213,108164543994,6072378,12734871371,67616027688,7382801412,6805054822,100470176903,66268461806,35463200128,2689,174,142,32377205,0.11773609817748057,0.6595834092138565,0.32786344599175843,0.06470806991446634,0.05280773521755299,0.10918715080493031,0.10064262948720532,연남,comparison,89.4136430746797,,97.11032798482826,,99.87000928505107,,97.72695416733119,
20214,145002872156,6859320,14756360933,87055037133,9754002620,7559014467,133793052609,91753479174,49316019967,2768,235,136,33545184,0.10176599065654716,0.6857865740020339,0.3401037457654205,0.08489884393063583,0.049132947976878616,0.1120440923492817,0.0868302939834667,연남,comparison,119.86585046278371,,109.69521577097015,,102.80408542246983,,101.2523675006132,
20221,122746063206,6018494,12991514692,76930061409,8028295771,10885262160,114360909147,76616042563,41767123362,2780,118,104,34160568,0.10584058138139095,0.6699495757288656,0.340272610551296,0.04244604316546763,0.03741007194244604,0.10435836945868829,0.1414955605212417,연남,comparison,101.46737811728917,0.18205079535778612,96.24860743430678,0.10273623973987966,103.2497678737233,0.049848942598187396,103.10983493683288,0.033124018306556424
20222,175826782974,7906676,17436170352,105418944520,10650800411,11024209851,163590683707,111379658826,61171362893,2825,163,110,35027161,0.09916674841612916,0.680843531563736,0.3479069676321473,0.05769911504424779,0.03893805309734513,0.10103307768348353,0.10457522508118544,연남,comparison,145.34627184928993,0.38582886714395137,126.44468108371547,0.1938560775985403,104.92107706592387,0.060037523452157515,105.72554850422482,0.04454596649118381
20223,167236479513,7412485,16288729912,101537872763,11322673637,10795255777,155022060997,105401114207,56549397843,2821,150,165,33563431,0.09739938295420653,0.6799104174536793,0.33814032684540085,0.053172633817795106,0.05848989719957462,0.1115118263648117,0.10631752944241066,연남,comparison,138.24514333523965,0.5461303060851139,118.54150870262353,0.2206889953161677,104.77251624883937,0.04908888062476757,101.30744401919137,0.03663769000443362
20224,174245203608,7439750,16290604322,107967746599,12015139314,10051930978,159082135061,107225656443,61913913680,2862,212,145,33907799,0.09349241175469614,0.6740270137931224,0.3553263584763454,0.07407407407407407,0.0506638714185884,0.11128452424431061,0.09310123897772542,연남,comparison,144.0388677064532,0.2016672567736446,118.97753443957639,0.08461917507857919,106.29526462395543,0.03395953757225434,102.34688012100112,0.010809748427673016
20231,165687465696,6848014,15626125610,102454360946,11640494752,9791136831,152930015637,101700360337,54913465990,2874,164,162,33893164,0.09431084931113919,0.665012423580728,0.3314280036774424,0.05706332637439109,0.05636743215031315,0.11361639118646483,0.09556583771149141,연남,comparison,136.96465932969835,0.34983934611355383,109.51440861960432,0.137828499953643,106.74094707520891,0.03381294964028769,102.30270601844228,-0.007827855789751537
20232,171481368539,7716221,17220879356,108469228583,11270557372,10051717662,157282029323,102960752975,58555801763,2898,188,155,33936676,0.10042420061561065,0.6546250287981478,0.3414703431742362,0.06487232574189096,0.05348516218081435,0.10390557321402759,0.09266884067778251,연남,comparison,141.7541581958158,-0.02471417813316057,123.39889778163011,-0.02408787207165186,107.63231197771587,0.025840707964601695,102.43404209979114,-0.031132554533894408
20233,160000436226,7104371,16347754840,102176906753,9902111648,9548007718,146856855282,95047376387,55246459435,2898,170,167,33052899,0.10217318918373984,0.6472110287564479,0.34528943006733176,0.05866114561766736,0.05762594893029676,0.09691144469598328,0.09344584820013317,연남,comparison,132.2635067670437,-0.043268330618245976,113.6141060282977,-0.04156689693132598,107.63231197771587,0.027295285359801413,99.76646055984223,-0.015210959809204283
20234,169864501651,7289471,16985599813,109820372995,9980040362,9620178072,153841719415,99997168780,59414138433,2919,172,156,34076407,0.09999499393874685,0.6500003325512104,0.3497737187907043,0.05892428914011648,0.05344295991778006,0.09087603774988436,0.08759921141806717,연남,comparison,140.41758381122892,-0.025141018899178857,116.57425141285572,-0.020199469068181042,108.41225626740948,0.01991614255765195,102.85580441784037,0.0049725433373013495
20241,156284114484,6601564,15546915184,100577809023,8700301444,7254523193,144221148880,94026041707,53494777125,2929,197,197,33567693,0.09947853776009753,0.6519573754417591,0.3422918400991847,0.06725844998292933,0.06725844998292933,0.08650319119608607,0.07212846713872088,연남,comparison,129.19142923109723,-0.05675354603620453,105.57314535637188,-0.03598853623838971,108.7836583101207,0.01913709116214335,101.32030838715212,-0.00960285088757129
20242,164153483636,7303966,17528890776,105814495205,9479173092,7090233698,151344876984,97324835753,54782664917,2935,180,188,33749252,0.10678354420347977,0.6430666018730787,0.3337283114775505,0.06132879045996593,0.06405451448040886,0.0895829354346538,0.0670062611390218,연남,comparison,135.69660124586443,-0.04273283427484087,116.80605750334286,-0.05342705969670902,109.00649953574745,0.012767425810904065,101.86832382182806,-0.005522756559894093
20243,149515543737,6627687,16356840024,96019718934,8695567601,6837254970,136613400547,87334901111,50058605351,2917,164,189,32658866,0.1093989267950088,0.6392850244654704,0.3348053593615244,0.05622214604045252,0.06479259513198492,0.0905602276025925,0.0712067796688683,연남,comparison,123.59622634343428,-0.06553039939334993,105.9909080677755,-0.06709728419306926,108.33797585886722,0.006556245686680562,98.57711623776699,-0.011921284120948061
20244,160414680798,6936027,17182183056,104358656003,9277975400,6966666818,144345023788,91887835936,52590795573,2887,120,163,33407285,0.10711103853166924,0.6365847157360683,0.32784278416028667,0.04156563907170073,0.05645999307239349,0.08890470379125318,0.06675696185469972,연남,comparison,132.60593983187948,-0.05563152254386505,110.92192496607167,-0.04848692038146529,107.22376973073352,-0.010962658444672813,100.83613486865129,-0.019635931687281505
20251,145804498959,6100005,14899839374,94792727077,8119394286,6266928541,132835586898,84655087165,50258238709,2857,107,143,32232345,0.10219053239358418,0.6372922282490746,0.3446960763750681,0.037451872593629684,0.05005250262513126,0.08565419031994541,0.06611191316301496,연남,comparison,120.528510981618,-0.06705489908299589,97.55214287699025,-0.07597578392029525,106.10956360259982,-0.024581768521679703,97.28971053927003,-0.03978074990140068
